S.No,Name,Description,Apply Link
1,"CNC Operator
Save
 ","Job description Key Responsibilities: Machine Operation Operate CNC turning, milling, or other machines as assigned. Load raw material and unload finished components. Perform basic setup and tool changes under guidance. Production & Process Control Follow daily production plans and meet required output. Ensure parts are machined within tolerance and quality requirements. Make minor adjustments to machine parameters when required. Quality Assurance Inspect components using calipers, micrometers, gauges, and other precision instruments. Record measurements and maintain inspection reports. Report deviations, defects, or equipment issues immediately. Maintenance & Housekeeping Maintain machine cleanliness and basic upkeep. Lubricate and check tools as per schedule. Report breakdowns or preventive maintenance requirements. Documentation & Reporting Fill daily production logs and inspection records. Follow ISO / quality documentation protocols where applicable. Assist in maintaining proper records for traceability. Safety & Compliance Adhere to company safety guidelines and wear required PPE. Maintain a clean and organized work area. Comply with standard operating procedures (SOPs) and work instructions. Job Type: Full-time Pay: ₹15, ₹23,000.00 per month Work Location: In person",https://in.bebee.com/job/c3c4cc25d2a84fde31a6cbaef727bc06?trk=bingjobs
2,"Cnc Operator Cum Setter
Save
 ","Job description Job Title: CNC Operator Cum Setter (Programming Knowledge ) Experience: 5 Years Location: Coimbatore Company: G R Industrial Engineering Products Private Limited Industry:Valve Salary: 18000 Onwards Per Month Mail your Resume to Job Type: Full-Time Job Description: We are seeking a skilled and detail-oriented CNC Operator cum Setter to join our manufacturing team. The candidate will be responsible for operating CNC machines, setting tools and fixtures, conducting first part inspection, and ensuring consistent quality in production. Key Responsibilities: Setup and operate CNC turning machines as per work instructions or drawings. Select appropriate tools, inserts, and fixtures as per the job requirement. Interpret engineering drawings, G-codes, and machining processes. Conduct trial runs and make necessary adjustments to achieve the desired dimensions. Perform offset corrections, tool wear compensation, and tool changes. Ensure first piece inspection is done as per quality standards. Monitor machine operations and ensure parts are produced within tolerance. Maintain machine cleanliness, perform routine maintenance, and report issues. Follow safety guidelines and maintain a clean and organized work area. Work collaboratively with production supervisors, quality inspectors, and maintenance teams. Key Skills Required: Knowledge of CNC machine operations (Turning). Strong understanding of machining principles and cutting parameters. Ability to read and interpret engineering drawings and measuring instruments (Vernier, Micrometer, Height Gauge, etc.). Experience in using and editing G-code (Fanuc Preffered). Problem-solving attitude and attention to detail. Willingness to work in shifts and handle multiple machine setups. Educational Qualification: ITI / Diploma in Mechanical Engineering / Tool & Die Making / CNC Programming Any equivalent technical certification in CNC operation . Preferred Experience: Minimum 5 years of hands-on experience as a CNC Operator cum Setter in a manufacturing setup. Experience in high-precision component machining is a plus. Salary: Commensurate with skills and experience. We are preffering expertise who have worked in VALVE INDUSTRY Accommodation Provided ABOUT US G R Industrial Engineering Products Private Limited, established in 1984, is a reputed manufacturer in the valve and precision engineering industry, known for delivering high-quality components that meet demanding industrial standards. With over 40 years of experience in the field of manufacturing, we specialize in the field of industrial valves for various sectors, maintaining a strong commitment to quality, reliability, and customer satisfaction. Do mail your Resume to Recriutment Process : Resume/CV screening Interview Call Technical Interview Job Type: Full-time Pay: ₹18, ₹19,000.00 per month Experience: CNC programming: 5 years (Preferred) Shift availability: Day Shift (Preferred) Night Shift (Preferred) Work Location: In person",https://in.bebee.com/job/12cc4cc01fd42c265c1f7e8c0840d5e7?trk=bingjobs
3,"Cnc Machine Operator
Save
 ","Job description CNC Machine Operator Job Summary: Operate CNC turning and milling machines to produce high-quality components. Set up and operate machine tools, including lathes and grinders, to perform a variety of tasks. Perform tool work offset setting, offset corrections, program corrections, and inspection duties. Use basic inspection instruments, such as micrometers and calipers, to verify dimensions and tolerances. Responsibilities: Key Responsibilities: Operate CNC machines to produce complex components with high precision. Read and interpret blueprints, diagrams, and technical drawings to understand production requirements. Set up and operate machine tools, including lathes and grinders, to perform a variety of tasks. Conduct regular maintenance on equipment to ensure optimal performance and safety. Collaborate with production team members to achieve daily production targets. Requirements: High School Diploma or equivalent required; ITI or B.E. in Mechanical Engineering preferred. Minimum 1-2 years of experience in CNC machining operations. Ability to work rotating shifts, including nights and weekends. Excellent problem-solving skills and attention to detail. Strong communication and teamwork skills.",https://in.bebee.com/job/6107b8e74ba0e654dc1ee48d72f9372f?trk=bingjobs
4,"Cnc Machine Operator And Setter
Save
 ","Job description Company Description Impel Ferrocast is a specialist in producing high-performance precision castings with low lead times and competitive pricing, meeting global industry standards. Founded in 1994 and renamed in 2022, we have grown exponentially to become a leading supplier of superior-quality grey and ductile iron castings. We supply OEs and general engineering parts for international brands in sectors such as automotive, power generation, hydraulics, agriculture, valves, and pumps. Our modern plant in Coimbatore is equipped with state-of-the-art equipment and experts who provide tailored solutions from prototype development to production runs. Role Description This is a full-time on-site role for a CNC Machine Operator and Setter located in Coimbatore. The CNC Machine Operator and Setter will be responsible for operating and setting up CNC machines, performing machining tasks, and ensuring quality control. Daily responsibilities include operating milling machinery, conducting routine maintenance, and adhering to safety protocols. The role also involves troubleshooting machinery issues and collaborating with team members to optimize production efficiency. Qualifications Proficiency in Machine Operation and Machining Experience with Milling and Machinery Knowledge of Quality Control procedures Excellent attention to detail and problem-solving skills Ability to work independently and as part of a team Relevant technical certifications or a diploma in a related field is a plus",https://in.bebee.com/job/61e41e56509c0b1bdb61b6b19723b3ec?trk=bingjobs
5,"CNC Operator Cum Programmer - EFB-515
Save
 ","Job description ITI/DME/BE With Minimum 3 Years Experience in CNC - VTL,HTL, Turning, VMC & HMC Programming knowledge is Required. Experience in General Engineering & Valve Industry are more preferred.Job Types: Full-time, PermanentPay: ₹25,000.00 - ₹40,000.00 per monthBenefits:- Food provided- Health insurance- Leave encashment- Provident Fund",https://in.jobrapido.com/jobpreview/6702862709601337344?utm_source=bingjobs&trk=bingjobs
6,"Cnc Operator-Grinding
Save
 ","Job description At Hillenbrand, we are seeking an experienced Cnc Operator-Grinding to join our team. In this role, you will be responsible for performing precision grinding operations on CNC machines to achieve precise dimensions and surface finishes. Key Responsibilities: Determine machining requirements, dimensional specifications, and set up requirements from programs, process sheets, and blueprints. Perform setup and operation of the CNC Universal Grinders, mount and dress the required Grinding Wheels, and load CNC Program into machine control. Write and edit programs, select and prepare tooling, and grind tools to size as required. Set appropriate magnetic chuck or related jig to hold components securely for grinding operations. Ensure efficient production of quality parts by completing in-process and final checks using gauges and measuring equipment. Team Collaboration: You will work closely with the production planning and quality assurance teams to ensure that all machining tasks are completed in accordance with specified run times. Requirements: Must have relevant education, experience, degree, knowledge, skills, and certifications.",https://in.bebee.com/job/28d3826d8f0941a88002499fe7a0667b?trk=bingjobs
7,"(X-368) CNC Operator Cum Programmer
Save
 ","Job description ITI/DME/BE With Minimum 3 Years Experience in CNC - VTL,HTL, Turning, VMC & HMC Programming knowledge is Required. Experience in General Engineering & Valve Industry are more preferred.Job Types: Full-time, PermanentPay: ₹25,000.00 - ₹40,000.00 per monthBenefits:- Food provided- Health insurance- Leave encashment- Provident FundSchedule:- Rotational shiftSupplemental Pay:- Overtime pay- Shift allowance- Yearly bonus",https://in.jobrapido.com/jobpreview/4956048795344306176?utm_source=bingjobs&trk=bingjobs
8,"CNC Plasma And Gas Cutting Machine Operator [ACT-154]
Save
 ","Job description We are currently seeking a CNC Plasma cutting Machine Operator to join our company. The ideal candidate will have a qualification in BE(Mechanical), DME, basic knowledge AutoCAD.Accommodation will be provided.Job Type: Full-timePay: ₹18,000.00 - ₹20,000.00 per monthEducation:- Diploma (Preferred)Experience:- CNC Programming: 1 year (Preferred)- total work: 1 year (Preferred)Shift availability:- Day Shift (Preferred)Work Location: In person",https://in.jobrapido.com/jobpreview/5442338736492773376?utm_source=bingjobs&trk=bingjobs
9,"Freshers/ Exp Cnc Machine Operator
Save
 ","Job description JD - CNC Machine Operator o Operating of CNC turning/Milling machine o Tool/work offset setting o Offset corrections o Program corrections o Inspection o Handing od basic inspection instruments o Jaws setting o Fixture setting CONTACT NO: Job Types: Full-time, Permanent Pay: ₹15, ₹35,000.00 per month Benefits: Food provided Health insurance Provident Fund Work Location: On the road",https://in.bebee.com/job/a83f7902e949b76cf7cf9db739a95b5b?trk=bingjobs
10,"VMC/HMC Machine Operator
Save
 ","Job description Urgent opening for VMC & HMC Machine Operation Jobs vacancy available Permanents ( On Roll Employee) QUALIFICATION: ITI/Diploma/B.E Mech and ECE EXPERIENCE: Fresher to 10 Year GENDER: Male or Female SALARY:16,000- 40,000 SHIFT: 8 hours shift/ OT available BENEFITS: *Hygienic food- subsidized *Accommodation-Free *Uniform & Safety Shoe Provided by company *PF & ESI *Annual Bonus *Overtime pay *Incentive and year Increment *Annual Bonus *Rotational shift only NO OF OPENINGS: 05 nos Location: SF.No. 16, 22/2, Athipalayam road, Chinnavedampatti, Ganapathy, Coimbatore – 641 049 HR CONTACT: 9791777867, 7373222135",https://www.adzuna.in/details/5382882067?trk=bingjobs
