S.No,Name,Description,Apply Link
1,"Lead Cybersecurity Engineer-Network (A842)
Save
 ","Job description • Design, implement, and maintain business and industrial communication solutions to solve and maintain compliance and cyber requirements and problems.• Participate in the design, implementation and troubleshooting of our network infrastructure with a focus on cyber, compliance and secure by design.• Work closely with PO’s, Operations Mgr., Risk Managers, MSP’s, Cybersecurity and Vendors resolve, remediate and maintain a strong compliance stance within the Network.• Analyzes network security needs and designs solutions that meet business requirements for protection, standardization, efficiency, scalability, supportability, and cost-effectiveness. Contributes to lifecycle activities.• Gather requirements and interact with multiple internal and external stakeholders to design and engineer our network infrastructure to support Network products.• Create technical design documentation and implementation/test plans. Provide comprehensive tier-3 support for the operational teams, this includes working with and coordinating vendors and service providers.• Interact with global peers within the network design, operation and across other support teams to support change implementations and solve challenging escalated problems. Implement and maintain processes, procedures and associated plans for network infrastructure including administration, usage, and disaster recovery Use ticketing and change management systems to track incidents and changes.• Participate in BCP and DRP events and exercises as part of a team supporting the overall network and business environment.• Develops and implements solutions and processes to maintain the reliability, effectiveness, and efficiency of network security infrastructure components across the enterprise and associated process control environments.• Works with project managers, team members, architects, business units and other stakeholders to create agile solutions, identifying continuous improvement opportunities, creating new or improved processes and automation to support step changes in operational efficiencies.• Analyzes network security needs and designs solutions that meet business requirements for protection, standardization, efficiency, scalability, supportability, and cost-effectiveness. Contributes to lifecycle activities.• Follows standard change management processes and practices when introducing technical changes to the environment.• Develops and shares best practices with other teams.",https://in.jobrapido.com/jobpreview/6717114304442662912?utm_source=bingjobs&trk=bingjobs
2,"Senior Network Security Engineer
Save
 ","Job description Job Title: CCIE Network Security Specialist A leading provider is seeking a skilled Network Security Specialist with expertise in Cisco Firepower solutions to join their team. This role requires deep knowledge of network security architecture, significant experience in providing technical support and implementation in mixed NX-OS and IOS-XE environments, and a CCIE Service Provider certification. Key Responsibilities: Design, implement, and optimize Cisco Firepower Threat Defense (FTD) and Firepower Management Center (FMC) solutions for service providers. Provide expert-level troubleshooting and technical support for firewalls, intrusion prevention systems (IPS), and threat detection solutions. Configure and troubleshoot MPLS/IP networks, ensuring end-to-end connectivity and optimal routing. Perform security assessments and audits to identify vulnerabilities and recommend improvements. Required Qualifications: CCIE Service Provider Certification (Active). Strong expertise in Cisco Firepower Threat Defense (FTD), Firepower Management Center (FMC), ASA, and Next-Generation Firewalls (NGFW). Minimum 12+ years of experience in network security, with a focus on Cisco Firepower solutions. In-depth knowledge of TCP/IP, routing protocols (BGP, OSPF, EIGRP), VPNs, MPLS, and network segmentation.",https://in.jobrapido.com/jobpreview/1841534259714588672?utm_source=bingjobs&trk=bingjobs
3,"Cybersecurity Specialist
Save
 ","Job description -Coimbatore, Tamil Nadu, India- Coimbatore, Tamil Nadu, India We are seeking highly skilled Cybersecurity Specialists with 3–7 years of experience in penetration testing, vulnerability assessment, and security audits. The ideal candidate will have hands-on experience with modern security tools and frameworks, and will play a key role in strengthening our internal systems as well as client-facing applications. Responsibilities Work: conduct vulnerability assessments, penetration testing, and security audits of applications, networks, and systems to identify security risks and vulnerabilities. Tools: such as OWASP ZAP, Burp Suite Professional, and other industry-standard platforms to evaluate the security of web applications and APIs. Compliance: relevant regulations and standards such as ISO 27001, NIST, or GDPR (as applicable). Requirements Bachelor's in Cybersecurity/CS/IS (certifications like CEH, OSCP, CompTIA Security+ a plus). 3+ years in penetration testing, vulnerability scanning, or security audits using tools like Burp Suite, OWASP ZAP, Qualys. Expertise in web vulnerabilities (XSS, SQLi, CSRF) and securing cloud environments (AWS, Azure, GCP). Knowledge of secure coding, DevSecOps, with strong analytical, problem-solving, and reporting skills. Excellent communication for documentation and presenting findings. Benefits Salary at market rate Generous holiday and sick pay Opportunity to work on international projects What's great in the job? Great team of smart people, in a friendly and open culture No dumb managers, no stupid tools to use, no rigid working hours No waste of time in enterprise processes, real responsibilities and Expand your knowledge of various business industries Create content that will help our users on a daily basis Real responsibilities and challenges in a fast evolving company What We Offer Each employee has a chance to see the impact of his work. You can make a real contribution to the success of the company. Several activities are often organized all over the year, such as weekly sports sessions, team building events, monthly drink, and much more Perks A full-time position Attractive salary package. Refreshment Stay energized at work with our stocked pantry of tea and coffee Trainings Tailored training modules to help you stay ahead in your career journey.",https://in.bebee.com/job/6e37a45f7ea440cac0393e0648875055?trk=bingjobs
4,"Consultant - OT Cybersecurity
Save
 ","Job description Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers - amazing companies that help feed the world, provide life-saving medicine on a global scale, and focus on clean water and green mobility - our people are energized problem solvers that take pride in how the work we do changes the world for the better. We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us! Job Description Job Summary: Deliver and execute the assigned project / work package on time with good quality, cost effectiveness and customer satisfaction. Ensure technical deliverables matches project / work package requirements. Save engineering cost for GEBS team through application and technical expertise. Ensure site activities are completed as desired by customer and in specified time frame. You will report to the Execution Manager. Your Responsibilities Conduct risk assessments for OT systems (e.g., SCADA, PLCs, and DCS). Develop and implement OT-specific GRC frameworks. Ensure compliance with standards like IEC 62443, NIST CSF, and ISO 27001. Creating Business Continuity, Incident Response, Disaster Recovery plans and procedures. Collaborate with cybersecurity teams to align OT and IT governance. Advise on regulatory requirements (NERC CIP, GDPR, local safety laws). Support audits and incident response planning for OT environments. Deliver training and awareness programmes for OT personnel. Understand routing and segmentation concepts like VLANs. Technical knowledge of firewalls, IDS and similar. Technical knowledge of OT technologies, networking, and protocols. Have a good understanding of an OT environment (common OT areas, personnel involved, OT constraints). Being able to ""explore"" the customer main systems under consideration. Understand basic OT flows: client-server, user operativity, user permissions. Basic knowledge about different OT vendors (Siemens, ABB, Schnieder, Mitsubishi. Understand a network diagram being able to identify the different assets and understand, on a high level, how are they connected. Identify network equipment being able to identify a switch, wireless Access Points, routers, net diodes, and firewalls. Identify and trace physically connected assets and documenting them in a network topology. Extract switches configuration and capture traffic. Understand general system configurations like O.S group policy, VMs, update mechanism. Being able to identify potential vulnerabilities and threats. Being able to identify current installed countermeasures/controls including, monitoring, end points security solutions, hardening measures (antivirus/EDR, GPO). Need to create ICS security monitoring and remediation policies using industry-standard reference architecture mapping such as the IEC62443. The Essentials - You Will Have Bachelor's degree in electrical engineering, Industrial Engineering, Computer Science or Information Technology or related technology-driven degree. 8+ years of experience in Manufacturing Control Systems, Network Engineering, and Industrial Security Controls. Security certifications such as IEC 62443, CISSP, GISP, CSSK, or CISM is required. 8+ years of hands-on experience creating ICS security monitoring and remediation policies using industry-standard reference architecture mapping such as the IEC62443. Previous experience working as part of a large, multi-disciplinary global team completing full project life-cycle implementations. Travel Requirements. Flexibility for travel 20% - 30% is required and can include both domestic and international trips. Legal authorization to work in the country of residence is required. Recognized Security certifications such as IEC 62443, CISSP, GISP, CSSK, or CISM is required. The Preferred - You Might Also Have Master's Degree in Cybersecurity. Configuring IT/OT network infrastructure equipment (Cisco Switches, Virtual Server Environments, Cisco ASA). Experience with AV, EDR or NAC. Experience with monitoring, analyzing, and understanding log sources for threat hunting. Knowledge of common system exploits, network attacks, phishing techniques, and malware. What We Offer Our benefits package includes … Comprehensive mindfulness programmes with a premium membership to Calm. Volunteer Paid Time off available after 6 months of employment for eligible employees. Company volunteer and donation matching programme – Your volunteer hours or personal cash donations to an eligible charity can be matched with a charitable donation. Employee Assistance Program. Personalised wellbeing programmes through our OnTrack programme. On-demand digital course library for professional development. and other local benefits! At Rockwell Automation we are dedicated to building a diverse, inclusive and authentic workplace, so if you're excited about this role but your experience doesn't align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right person for this or other roles. Rockwell Automation’s hybrid policy aligns that employees are expected to work at a Rockwell location at least Mondays, Tuesdays, and Thursdays unless they have a business obligation out of the office.",https://www.bing.com/ck/a?!&&p=a33ce3e2115ab6940c8ca38b0144459b274692e1bc4c3fb226243c1ac4eb8356JmltdHM9MTc1NzM3NjAwMA&ptn=3&ver=2&hsh=4&fclid=043f3170-b792-689e-2ec5-2713b6ed69cf&u=a1aHR0cHM6Ly9pbi5saW5rZWRpbi5jb20vam9icy92aWV3L2NvbnN1bHRhbnQtb3QtY3liZXJzZWN1cml0eS1hdC1yb2Nrd2VsbC1hdXRvbWF0aW9uLTQyOTQzNzQ0OTc_dHJrPWJpbmdqb2Jz&ntb=1
5,"Network Security Engineer
Save
 ","Job description Role Network Security Engineer Location Remote offshore India Duration 6 months+ contract to hire Role: Network Security Engineer · Need experience with Palo Alto, Zscaler, Juniper and Cisco · Develop and design secure network architecture and infrastructure (firewalls, VPNs, IDS/IPS, LAN, WAN, WLAN, SD-WAN, Cloud Networks, etc.) · Proficient knowledge and experience with networking technologies (i.e., WAN connectivity, access points, network switches, load-balancers, routing protocols, firewalls, VPNs, VLANs, LAN Segmentation methodologies, etc.) · Familiarity with Cloud networking (vnet peering, vpc, etc. in Azure, AWS) · Maintenance and upgrades, troubleshooting & Support, Security, and Performance Monitoring",https://in.jobrapido.com/jobpreview/4750507191159488512?utm_source=bingjobs&trk=bingjobs
6,"Network Security Engineer
Save
 ","Job description Your Impact Working closely with team members, you will set up and maintain test environments for Cisco products, ensuring readiness for new certification projects and providing support and guidance in optimizing test setups. This role also involves partnering with locally located third-party labs to facilitate certification processes and collaborating with globally located engineers and program managers to ensure alignment and progress. Engagement with the Business Unit/Development Engineering (BU/DE) community, including development test and QA test teams, is crucial. You will conduct detailed assessments to determine the feasibility of certification assurance and project completion. Participate actively in the entire lifecycle of the certification process, from initial planning to final execution. This includes developing and writing technical documentation to support certification efforts, performing network analysis, and conducting business analysis/feasibility studies to support decision-making and strategy development. Required Qualifications 5+ years of experience in networking/security engineering roles. Hands-on experience with Cisco technologies (CCNA/CCNP preferred). Strong grasp of networking protocols, routing, switching, VPN, IPSec, IDS/IPS, wireless, and cryptographic systems. Experience working with certification or regulatory frameworks (preferred: ITSAR, Common Criteria, FIPS). Skilled in writing technical documentation and test reports. Strong communication skills with the ability to interface with both engineering and executive teams. Experience in working with globally distributed teams. Proficient in test automation tools and scripting (e.g., Python, Ansible, TCL, etc.). Self-driven, organized, and able to manage multiple priorities with minimal supervision. Preferred Skills Experience supporting telecom security certifications for India (NCCS, DoT, ITSAR). Knowledge of Cisco enterprise and service provider product portfolio. Exposure to security technologies like PKI, secure logging, access control, and zero trust architectures. Prior experience working with government or standards-compliance programs.",https://in.jobrapido.com/jobpreview/6487206113837056000?utm_source=bingjobs&trk=bingjobs
7,"Network Security Engineer(5+ Yr,
Save
 ","Job description Role : Network Security Engineer (5+ Yr, (Palo Alto, Checkpoint, FortiGate , FTD ) Exp: 5+ Years Location : Pune (WFO) Skills : Any two firewall experience ((Palo Alto, Checkpoint, FortiGate , FTD) BGP, VLAN, Routing. Qualification : BE/ BTech / MCA / BCA / BSc (CS/IT)",https://in.jobrapido.com/jobpreview/4158312702340497408?utm_source=bingjobs&trk=bingjobs
8,"Network Security Engineer
Save
 ","Job description About Client: Our Client is a multinational IT services and consulting company headquartered in USA, With revenues 19.7 Billion USD, with Global work force of 3,50,000 and Listed in NASDAQ, It is one of the leading IT services firms globally, known for its work in digital transformation, technology consulting, and business process outsourcing, Business Focus on Digital Engineering, Cloud Services, AI and Data Analytics, Enterprise Applications ( SAP, Oracle, Sales Force ), IT Infrastructure, Business Process Out Source. Major delivery centers in India, including cities like Chennai, Pune, Hyderabad, and Bengaluru. Offices in over 35 countries. India is a major operational hub, with as its U.S. headquarters. Job Title : Network and Security Specialist Key Skills : Checkpoint Firewall,Fortigate Firewall,Aci Job Locations : Mumbai,Bangalore Experience : 12 Years to 18 Years. Education Qualification : Any Graduation. Work Mode : Hybrid. Employment Type : Contract. Notice Period : Immediate Job Summary : Bachelor's or equivalent degree from accredited institution and minimum of 12 to 15 years experience with network administration support, or similar technical experience. In lieu of a degree, certifications or experience will be considered. Experience managing a team of network security engineers including L1,L2,L3. Networking certifications including CCNA, CCNP, is mandatory. Experience will be considered over certifications where applicable. Networking and security architectural and engineering support experience across local, regional, and global domains. Must be able to demonstrate knowledge in the following: fortigate and checkpoint Firewalls, and Network Security best practices. Deep technical knowledge with the ability to assess and troubleshoot complex environments and issues. Expert knowledge of network infrastructure, networking protocols, standards and associated configurations, VPN access, Firewalls, and other security appliances and solutions. Problem management skills, including the ability to identify and assess the risks and determine corrective actions. Develop and maintain incident resolution plans, particularly for switching, routing, and firewall-related incidents. Should be able to collaborate multiple domains to resolve business outages and Driving RCA. Frequently interacts with leadership, internal users, vendors, and customers. Has effective interpersonal communications and uses problem management techniques to solve complex issues. Project management skills. Ability to track and report on operational projects such as upgrades and migrations. Expert level knowledge on Cisco Nexus and ACI is mandatory Design and implement comprehensive network security architectures, integrating switching, routing, and firewall technologies to defend against advanced cyber threats. Should have a great acumen in building technical team through trainings and awareness session. Preferred Technical and Professional Experience CCIE will be preferred. Experience with managing multiple vendors, reviews of new features and negotiation skills.",https://in.jobrapido.com/jobpreview/7025917711381168128?utm_source=bingjobs&trk=bingjobs
9,"Network Security Engineer [R265]
Save
 ","Job description Note : Face-Face interview is mandatory at ITC Office - Hyderabad Mindspace Hitechcity. Need Immediate to 15 days joiners. JD:- Network with Palo Alto Firewall mandatory. Network Security Engineer Location : Hyderabad Job Description: The Network Segmentation Engineer is responsible for designing, implementing, and maintaining secure network segmentation strategies to reduce the attack surface, enhance data protection, and support compliance with cybersecurity standards. This role involves close collaboration with network engineering, cybersecurity, compliance, and business units to ensure segmentation supports both security and operational requirements. Networking Knowledge Very strong understanding of TCP/IP stack Deep understanding of common network ports and protocols: TCP/UDP ports, HTTP/S, FTP, DNS, DHCP, SMTP, SNMP, ICMP, SSH, RDP, SMB, SIP, and more. Familiarity with Layer 2 and Layer 3 segmentation (e.g., VLANs, subnets) Security Expertise Knowledge of firewall/access technologies (e.g., Palo Alto, Juniper, ACLs on both Cisco and Juniper) Experience with Zero Trust architecture and microsegmentation (e.g., Illumio, Guardicore) Experience with host based firewalling (e.g., Windows Defender, IPtables) Tools & Platforms Network tracing tools (e.g., Wireshark) Configuration management tools (e.g., Ansible, Python) Network monitoring tools (e.g., NetFlow, FlowMon, SNMP, Grafana, Prometheus) Soft Skills & Responsibilities Analytical Thinking Ability to assess network traffic flows and segment based on application or sensitivity Threat modeling and attack surface analysis Documentation & Compliance Strong documentation skills for network diagrams, segmentation policies, and change management Project Management Support segmentation projects from planning through execution Strong communication skills Collaborate with different stake holders like security, application owners, application managers and end-users Incident Response & Troubleshooting Troubleshoot issues related to misconfigured segments or access Participate in incident response related to lateral movement or segmentation failures",https://in.jobrapido.com/jobpreview/8740266414524334080?utm_source=bingjobs&trk=bingjobs
10,"Network Security Engineer
Save
 ","Job description Company Description RSEC is a leading cybersecurity research and development company that specializes in offering advanced solutions and expert consultation services. Our mission is to safeguard information and network infrastructure by developing innovative security technologies and strategies. RSEC is committed to enhancing cybersecurity measures for organizations across various industries. Based on a foundation of rigorous research and development, RSEC ensures that clients receive the most effective and up-to-date security solutions. Role Description This is a full-time remote role for a Network Security Engineer. The Network Security Engineer will be responsible for designing, implementing, and managing network security solutions. Daily tasks include monitoring network traffic, identifying and mitigating security threats, and developing security policies and procedures. The role also involves ensuring compliance with security standards, assisting in incident response, and conducting vulnerability assessments. Qualifications Skills in Network Administration and Network Engineering Experience with Network Security and Cybersecurity Knowledge in Information Security Strong analytical and problem-solving abilities Excellent communication and teamwork skills Ability to work independently and remotely Experience with security tools and technologies is a plus Bachelor's degree in Computer Science, Information Technology, or a related field",https://in.jobrapido.com/jobpreview/4274579872224903168?utm_source=bingjobs&trk=bingjobs
