S.No,Name,Description,Apply Link
1,"Remote Full-Stack Developer – 17853
Save
 ","Job description Role Overview: We are looking for skilled Full-stack Python + JavaScript/TypeScript developers to join our dynamic team working on cutting-edge AI research and commercial applications. This role is ideal for engineers who enjoy solving complex problems, writing clean code, and contributing to advancements in AI. You'll collaborate with leading US-based companies building next-generation AI solutions. What You'll Do: Develop & Optimize AI models with clean, efficient code. Evaluate Performance through benchmarking and response ranking. Fine-Tune Models using high-quality datasets (SFT, RLHF). Ensure Quality via code reviews, testing, and documentation. Innovate with new evaluation strategies and improved training workflows. Required Skills & Experience: Strong proficiency in Python and JavaScript/TypeScript (ES6+). Experience with Node.js or NestJS and a modern frontend framework (React, Angular, or Vue.js). Background in modular development, scalable architectures, testing, and security best practices. Solid knowledge of Docker. Bachelor's/Master's degree in Computer Science, Engineering, or equivalent experience. Excellent written and spoken English communication skills. Ability to write clean, maintainable, and testable code. Bonus Points: Experience with LLMs, prompting, or AI fine-tuning. Exposure to quality assurance, test-driven development, or test planning. Perks of Freelancing with Turing: 100% remote work flexibility. Hands-on experience with leading AI/LLM companies. Opportunity to work on high-impact, innovative projects. Engagement Details: Commitment: Minimum 20 hrs/week (options: 20, 30, or 40 hrs). Must overlap at least 4 hours with PST. Type: Contractor (no medical/paid leave). Duration: 1 month (starting next week). Evaluation Process (Approx. 75 mins): Technical Interview (60 mins) Culture Fit + Offer Discussion (15 mins)",https://in.jobrapido.com/jobpreview/2754226045749035008?utm_source=bingjobs&trk=bingjobs
2,"Full Stack Developer
Save
 ","Job description 𝐖𝐞'𝐫𝐞 𝐇𝐢𝐫𝐢𝐧𝐠: 𝐅𝐮𝐥𝐥-𝐒𝐭𝐚𝐜𝐤 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫 (𝐑𝐞𝐦𝐨𝐭𝐞 & 𝐅𝐮𝐥𝐥-𝐓𝐢𝐦𝐞) At Xvant, we're redefining digital transformation in the higher education industry—and we're looking for a talented Full-Stack Developer to help us build smarter, faster, and more scalable solutions. 𝐉𝐨𝐛 𝐓𝐲𝐩𝐞: Remote & Full-Time Location: India (Preferred) If you're passionate about clean code, creative problem-solving, and building products that make a real impact, we want to hear from you 𝐖𝐡𝐚𝐭 𝐘𝐨𝐮'𝐥𝐥 𝐁𝐞 𝐖𝐨𝐫𝐤𝐢𝐧𝐠 𝐎𝐧: Developing and maintaining custom websites, CRMs, web and mobile apps Working with tools like PHP, MySQL/MongoDB Collaborating with designers and project managers to bring ideas to life Integrating third-party APIs and managing backend logic Ensuring platforms are scalable, secure, and optimized 𝐖𝐡𝐚𝐭 𝐖𝐞'𝐫𝐞 𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐅𝐨𝐫: 2+ years of hands-on PHP + MySQL development Strong with HTML, CSS, JS, jQuery (non-React environments) Able to debug legacy code, work with includes, sessions, and MySQL joins REST API handling (fetch, curl, JSON decode) Solid understanding of modern JavaScript frameworks & backend logic Familiarity with database architecture and API integrations India-based (preferred), but open to strong remote candidates Application Deadline: 16 May 2025 Send CV & portfolio to: info@xvant.com Learn more at: www.xvant.com Join a bold, growing team that's transforming how education brands go digital. Let's build the future—together.",https://in.jobrapido.com/jobpreview/3015460112903962624?utm_source=bingjobs&trk=bingjobs
3,"Full Stack Developer
Save
 ","Job description Job Title: Full Stack Developer & ) Location: Chennai, Tamil Nadu Employment Type: Full-Time Experience: 5+ Years Notice Period: Immediate Joiner Preferred Job Overview We are hiring an experienced Full Stack Developer with 5+ years of hands-on expertise in (frontend) and (backend). The ideal candidate will be responsible for developing scalable applications, building robust APIs, and delivering end-to-end solutions. Candidates who can join immediately will be given preference. Key Responsibilities Design, develop, and deploy full-stack web applications using and . Build, integrate, and manage RESTful APIs and third-party services. Optimize frontend for performance, responsiveness, and user experience. Work with databases like MongoDB, MySQL, or PostgreSQL for scalable data solutions. Implement authentication, authorization, and security best practices. Collaborate with cross-functional teams (design, product, QA) to deliver high-quality features. Ensure coding best practices, code reviews, and efficient system design. Required Skills & Qualifications Bachelor's Degree in Computer Science/Engineering/IT or equivalent experience. 5+ years of proven experience as a Full Stack Developer . Strong expertise in , Redux/Context API, , . Proficiency in JavaScript (ES6+), HTML5, CSS3 . Solid understanding of REST APIs & JSON . Database skills with MongoDB, MySQL, or PostgreSQL . Hands-on experience with Git/GitHub for version control. Strong analytical and problem-solving skills with ability to work in agile teams. Preferred Skills Experience with TypeScript . Exposure to Docker, AWS, or cloud platforms . Familiarity with testing frameworks (Jest, Mocha, Cypress). Understanding of microservices architecture . What We Offer Competitive salary and employee benefits. Exciting projects and opportunities to work with modern technologies. Growth-oriented, collaborative work culture. Chance to make a real impact with end-to-end development ownership.",https://in.bebee.com/job/2817cea74f7e303784c13c3114676297?trk=bingjobs
4,"Fullstack Developer – Content, Communication
Save
 ","Job description Title: Fullstack Developer – Content, Communication & Collaboration Location: India/Remote Job Type: Fulltime Job Description: Lead the design, development, and support of applications and integrations for collaboration and communication tools. Guide a team of developers while working closely with stakeholders to implement scalable, secure, and user-centric solutions. Tools & Platforms: Slack, Zoom, LucidChart, LucidSpark, Vizzlo Key Responsibilities: • Architect, develop, and maintain custom integrations between Slack, Zoom, and other workplace platforms. • Design and Development: o Design, develop, and implement custom applications, integrations, and automations within our digital workplace ecosystem (e.g., collaboration platforms, communication tools, intranet portals, productivity suites). o Write clean, efficient, and well-documented code using relevant programming languages and frameworks (e.g., JavaScript, Python, .NET, scripting languages). o Develop and maintain APIs and integrations between different digital workplace platforms and enterprise systems. o Create user-friendly interfaces and ensure a consistent and intuitive user experience across digital workplace tools. • Platform Management and Support: o Assist in the configuration, customisation, and administration of key digital workplace platforms (e.g., Microsoft 365, SharePoint, Teams, other collaboration tools). o Troubleshoot and resolve technical issues related to digital workplace applications and integrations. o Participate in system upgrades, patching, and maintenance activities. • Collaboration and Innovation: o Collaborate with IT teams, business analysts, and end-users to understand requirements and translate them into technical solutions. o Participate in the evaluation and implementation of new digital workplace technologies and tools. o Contribute to the development of best practices and standards for digital workplace development and deployment. o Identify opportunities for process improvement and automation within the digital workplace. • Testing and Quality Assurance: o Develop and execute unit tests and integration tests to ensure the quality and reliability of developed solutions. o Participate in code reviews to ensure adherence to coding standards and best practices. o Assist in user acceptance testing (UAT) and gather feedback for iterative improvements. • Documentation: o Create and maintain technical documentation for developed applications, integrations, and configurations. o Develop user guides and training materials as needed. • Security and Compliance: o Adhere to security policies and best practices in all development activities. • Work with security teams to ensure the security and compliance of digital workplace solutions. Qualifications: • 7+ years of experience in full-stack or backend development roles. • Deep proficiency in JavaScript/TypeScript (Node.js), Python, and REST APIs. • Strong experience with Slack APIs (Events API, Bolt SDK), Zoom SDK, and webhook architecture. • Familiarity with OAuth2, token-based authentication, and permission scopes. • Experience with Lucidchart embedding and integration APIs. Demonstrated ability to lead technical initiatives and cross-functional teams.",https://in.jobrapido.com/jobpreview/8125686556158590976?utm_source=bingjobs&trk=bingjobs
5,"Junior Full Stack Developer
Save
 ","Job description We are seeking a Junior Full Stack Developer Intern with 0–2 years of experience to join our dynamic development team. This role offers hands-on exposure to modern web and software technologies, including frontend, backend, cloud, and AI-driven systems. Success in this position means actively contributing to development projects, learning and applying new technologies quickly, collaborating with team members, and delivering reliable, scalable solutions. This role plays a key part in supporting our product development roadmap and aligns directly with our organization's mission to build innovative digital solutions. Responsibilities Collaborate with the development team to design, build, and maintain web applications. Write clean, efficient, and scalable code using , , Angular, Python, Django, and .NET . Assist in integrating Machine Learning models and AI agents into applications. Contribute to building and deploying applications on cloud platforms (AWS, Azure, or Google Cloud) . Debug and troubleshoot software issues across frontend and backend. Participate in code reviews and follow best practices for software development. Work closely with designers, project managers, and other developers to ensure smooth project execution. Stay updated on emerging technologies and proactively apply them to projects. Qualifications Experience: 0–2 years of relevant experience (internship or project work included). Education: Bachelor's degree (in progress or completed) in Computer Science, Engineering, or related field preferred. Skills: Frontend: , , Angular Backend: Python, Django, .NET Cloud Technologies: AWS, Azure, or Google Cloud (basic knowledge and willingness to learn) Machine Learning & AI agents (basic knowledge and willingness to learn) Strong understanding of web fundamentals (HTML, CSS, JavaScript) Familiarity with databases (SQL/NoSQL) Excellent problem-solving, debugging, and collaboration skills Other Requirements: Strong verbal and written communication skills, eagerness to learn, and ability to work from office.",https://in.bebee.com/job/945738039f4b10de48ae4a57a66f0620?trk=bingjobs
6,"Capestart - Java Full Stack Developer - React.Js/Python
Save
 ","Job description Job Description We are seeking a highly skilled Software Engineer to join our dynamic team. The ideal candidate will be responsible for designing, developing, and maintaining scalable microservices using Spring Boot and Java. This role requires strong problem-solving skills, leadership capabilities, and the ability to work collaboratively with cross-functional teams. Key Responsibilities Design and develop high-performance, scalable Java-based applications using Spring Boot and Microservices architecture. Write efficient queries and manage databases using MySQL. Implement caching and improve application performance using Redis. Apply design patterns and best practices to ensure code quality and maintainability. Conduct code reviews, mentor team members, and provide technical guidance to junior developers. Work closely with frontend developers using React, JavaScript, and HTML for seamless integration. Develop and maintain unit tests using JUnit to ensure code reliability. Debug production issues effectively and propose optimizations. Collaborate with cross-functional teams including product managers, QA, and DevOps. Must-Have Proficient in Java (17 or 21) and Spring Boot. Strong experience with Microservices architecture, including advanced concepts such as event-driven communication, service orchestration, and distributed system design. Experience working with AWS services such as S3, SQS, and other cloud-native tools for scalable application development. Hands-on experience with MySQL and Redis. Sound knowledge of Design Patterns and best software engineering practices. Experience with React, JavaScript, and HTML for frontend development. Excellent communication and leadership skills. Strong debugging skills and experience with JUnit for unit testing. Linux Nice-to-Have Basic understanding or experience with Python (FastAPI). Familiarity with Swagger for API documentation. Exposure to Gen AI Basics or interest in AI-driven : Bachelor's or Masters degree in Computer Science, Engineering, or a related field Desirable Skills Python, Swagger, Artificial Intelligence, Gen AI Basics (ref:hirist.tech)",https://in.linkedin.com/jobs/view/capestart-java-full-stack-developer-react-js-python-at-capestart-4293421326?trk=bingjobs
7,"Full Stack Developer
Save
 ","Job description Company Overview TeachEdison is an Education Technology company committed to developing high-performance software tailored for educators. Our flagship product, EdisonOS, is a robust operating system designed for knowledge commerce. Located in Bangalore with a team of 11-50 employees, we are part of the software development industry, striving to deliver exceptional solutions. Job Overview We are seeking a Mid-Level Full Stack Developer to join our team in Coimbatore. This full-time role requires a proactive individual to contribute to the evolution of EdisonOS, enhancing its capabilities for educators worldwide. The ideal candidate will possess expertise in FastAPI, Django REST Framework, , TypeScript, Microservices, and CI/CD pipelines. Qualifications and Skills Proficient with FastAPI and Django REST Framework for building scalable backend solutions that deliver consistent performance. Experienced in developing dynamic front-end applications using and TypeScript, ensuring responsive and intuitive user interfaces. Knowledgeable about microservices architecture to build modular and maintainable services that support independent deployment cycles. Hands-on experience with CI/CD tools to automate deployment processes and maintain code quality across development stages. Analytical skills to assess and enhance system performance, contributing to system stability and resilience. Ability to collaborate effectively with cross-functional teams, ensuring smooth communication and integration of development efforts. Familiarity with version control systems, especially Git, to manage codebase changes and facilitate team collaboration on projects. Excellent problem-solving skills with a detail-oriented mindset to address technical challenges rapidly and efficiently. Roles and Responsibilities Develop and maintain web applications using FastAPI, Django REST Framework, , and TypeScript to enhance EdisonOS features. Implement microservices architecture to improve system modularity and enhance the scalability of existing solutions. Ensure the continuous integration and deployment of code using CI/CD pipelines to streamline and optimize the software development lifecycle. Collaborate closely with the design team to translate requirements into interactive functionalities and impressive user experiences. Conduct code reviews to maintain quality standards, share insights, and encourage best practices with fellow developers. Identify, troubleshoot, and resolve production issues rapidly to minimize downtime and ensure uninterrupted service delivery. Contribute to technical documentation and maintain transparency across the development process for stakeholders and co-developers. Continuously explore new technologies and best practices to drive innovation and efficiency within the company's development initiatives.",https://in.bebee.com/job/7ad5369cf951c6df371bc324a6853150?trk=bingjobs
8,"AWS Fullstack Developer (QTY-612)
Save
 ","Job description We're Hiring! I'm excited to share that we're looking for AWS Fullstack Developer to join our team at ITC Infotech. Total Experience: 4+ Year Work Location: Pune Notice Period: Immediate to 30 Days Mandatory Skills: - Reactjs - Nodejs - AWS - Typescript - Nextjs Kindly refer below the detailed Job Description and If interested to apply for this job opportunity, please share your resume at Key Responsibilities - Collaborate closely with other technical leads to align on standards, interfaces, and dependencies - Hands-On on Coding and Development: Design and implement microservices using Nodejs and TypeScript - Build and maintain RESTful APIs - Optimize services hosted on AWS (CloudFront, S3, Aurora PostgreSQL, etc) - System Architecture & Operations : Contribute to system architecture and component design in collaboration with other leads and architects - Leverage Databricks as a data lake backend (no data engineering needed) - Ensure secure and reliable authentication/authorization using Auth0 - Agile Delivery: Contribute to agile ceremonies (stand-ups, sprint planning, retrospectives) - Cross-Team Collaboration: Work with front-end engineers (Reactjs, Nextjs), DevOps, QA, and product managers - Ensure consistency and maintainability across services and teams",https://in.jobrapido.com/jobpreview/8358148877915783168?utm_source=bingjobs&trk=bingjobs
9,"Full Stack Developer
Save
 ","Job description As an agile Full Stack Developer, you will be doing the system study, analyzing the requirements, building up the logic and writing codes; developing DB structures, and binding them to the I/O layers with APIs; conduct testing with your codes and take it to final deployment. You will be required to document the developments and maintain the source codes in the GIT branches. Experience 2 - 3 years Responsibilities ⦁ Develop and maintain web applications using various technologies such as PHP, , Angular, HTML, CSS, jQuery, Python and ReactJS. ⦁ Collaborate with cross-functional teams including product management, UX designers, and QA to deliver high-quality web applications. ⦁ Participate in the Agile development process including Sprint planning, retrospectives, and daily stand-ups. ⦁ Experience in Azure Devops. ⦁ Develop and maintain RESTful Web Services using JSON and other formats. ⦁ Develop and maintain Full stack code using , Python, PHP, Angular, HTML, CSS, jQuery and Flutter. ⦁ Work with database schema and queries using NOSQL and RDBMS(MongoDB,MYSQL, PostgreSQL,etc). ⦁ Execute manual and automated test scripts over the required test cases to ensure high quality and error-free code. ⦁ Implement the required code quality and security checks using various tools to maintain the code in Grade-A condition. ⦁ Push the App, Troubleshoot and debug issues in production and non-production environments. ⦁ Continuously improve the development process by implementing best practices, tools, and techniques. Required Skills: ⦁ Bachelor's degree in Computer Science or related field. ⦁ 3+ years of experience in full-stack App development. ⦁ Strong development skills in Reactjs, , PHP, and Python. ⦁ Proficiency in App development using HTML, CSS, JQuery, Angular, Dart and Flutter. ⦁ Experience with Front end frameworks like ,,tailwind css,etc are an added advantage. ⦁ Experience with MYSQL,PostgreSQL, or Mongo DB. ⦁ Experience with RESTful Web Services using JSON. ⦁ Familiarity with WebSocket, Gulp, Grunt, npm. ⦁ Experience with Devops and CI/CD pipelines. ⦁ Familiarity with version control systems such as Git/SVN. ⦁ Strong analytical and problem-solving skills. ⦁ Good communication and interpersonal skills. ⦁ Ability to work collaboratively with cross-functional teams in an Agile environment.",https://in.bebee.com/job/bce30ce2f47280e7d1564e85e08eb648?trk=bingjobs
10,"Python Full Stack Developer
Save
 ","Job description Required Skills Strong proficiency in Python and web frameworks (Django / Flask / FastAPI). Hands-on experience with frontend technologies: HTML, CSS, JavaScript, and React / Angular / Vue. Good knowledge of REST API design and integration. Proficiency in working with databases: MySQL, PostgreSQL, MongoDB. Experience with Git / GitHub / GitLab for version control. Familiarity with Docker, cloud platforms (AWS/Azure/GCP) is a plus. Understanding of Agile/Scrum methodologies. Strong knowledge in AI/ML is plus. Job Type: Full-time Pay: Up to ₹1,000,000.00 per year Benefits: Food provided Health insurance Life insurance Provident Fund Experience: Django: 5 years (Required) Angular: 5 years (Required) React: 5 years (Required) Team handling: 5 years (Required) Python: 5 years (Required) Work Location: In person","https://www.glassdoor.co.in/job-listing/python-full-stack-developer-rosemallow-technologies-JV_IC2836047_KO0,27_KE28,51.htm?jl=1009864249204&trk=bingjobs"
