S.No,Name,Description,Apply Link
1,"Mechanical Design Engineer
Save
 ","Job description Job Responsibilities:- Exp Required - 6-7 YearsLead the complete mechanical design lifecycle of Special Purpose Machinery (SPM) projects, from initial concept to final implementation.Develop detailed 3D models and 2D manufacturing drawings using SolidWorks 2023, adhering to industry best practices and company standards.Perform thorough engineering calculations and analyses (e.g., stress, strain, thermal, kinematic) to ensure the functionality, safety, and reliability of designs.Generate and maintain comprehensive design documentation, including bills of materials (BOMs), assembly procedures, and technical specifications.Collaborate closely with cross-functional teams, including electrical engineers, controls engineers, manufacturing personnel, and project managers, to ensure seamless integration of mechanical designs.Participate in design reviews, providing constructive feedback and implementing necessary design modifications.Identify and resolve design-related issues and challenges during the development and manufacturing phases.Stay abreast of the latest advancements in mechanical design principles, materials, and manufacturing processes relevant to SPM.Contribute to the continuous improvement of design standards, processes, and tools.Mentor and provide guidance to junior mechanical design engineers.. Proven expertise in using SolidWorks 2023 for 3D modelling, assembly design, and 2D drafting (candidates should be prepared to demonstrate their proficiency).. Have to done System Integration with help of Pneumatic, Hydraulic, PLC, SCADA, and Servo & Vision Sensors as per requirement of customer application.",https://in.jobrapido.com/jobpreview/246139280039084032?utm_source=bingjobs&trk=bingjobs
2,"Mechanical Design Engineer (E585)
Save
 ","Job description #Urgent_Opening_for Canvendor #Hiring : Mechanical Structural Design Engineer (3+ Years Experience) Chennai Immediate Joiners Preferred Location: Chennai, India Experience: 3+ Years Notice period: Immediate to 30 days Interview Mode: Face-to-face Interview Skills Highlighted: Solid Edge, Sheet Metal, Solid Works Key Requirements: -3 to 4 years’ experience -Should have experience only in Sheet metal / welding. -Experience in Solid Works development (Able to write tool test) -Construction equipment manufacturing companies / Heavy fabrication industry If interested kindly share your updated CV to",https://in.jobrapido.com/jobpreview/5397230172451635200?utm_source=bingjobs&trk=bingjobs
3,"Mechanical Design Engineer
Save
 ","Job description Key Responsibilities Design, develop, and review mechanical systems, equipment, and piping layouts for ETP, STP, RO, ZLD, and water treatment projects. Prepare and check GA drawings, fabrication drawings, equipment layouts, and P&IDs in coordination with process engineers. Perform mechanical calculations (pump head, pressure drop, pipe sizing, tank/vessel design, structural strength checks). Develop Bill of Materials (BOM), technical specifications, and datasheets for procurement. Support vendor development by reviewing technical offers, drawings, and QAPs. Coordinate with production, erection, and commissioning teams for smooth project execution. Conduct quality checks and inspections for fabricated/mechanical equipment (tanks, vessels, piping, pumps, blowers, agitators, etc.). Ensure compliance with ASME, IS, and other relevant standards in design and fabrication. Optimize designs for cost-effectiveness, durability, and energy efficiency. Maintain project documentation and provide regular updates to the project manager. Required Qualifications & Skills B.E./B.Tech in Mechanical Engineering (or related field). 3–4 years of proven experience in mechanical design engineering for industrial projects (preferably water/wastewater treatment, chemical, or process plants). Proficiency in AutoCAD, SolidWorks, Inventor, or equivalent 3D design software. Good knowledge of pumps, piping, pressure vessels, blowers, compressors, valves, and rotating equipment. Familiarity with fabrication, welding, machining, and assembly practices. Strong analytical skills with ability to perform mechanical calculations and design validation. Excellent coordination, documentation, and communication skills. Ability to work independently and as part of a cross-functional project team. Preferred Experience Exposure to Zero Liquid Discharge (ZLD) and wastewater treatment projects. Hands-on experience in erection, testing, and commissioning support. Working knowledge of ERP systems for project and material tracking. Job Type: Full-time Pay: ₹20,000.00 - ₹30,000.00 per month Benefits: Provident Fund Work Location: In person","https://www.glassdoor.co.in/job-listing/mechanical-design-engineer-wtt-international-pvt-ltd-JV_IC2836484_KO0,26_KE27,52.htm?jl=1009855799493&trk=bingjobs"
4,"Mechanical Design Engineer
Save
 ","Job description Company Description E-cell SSMIET is a student-driven initiative at SSM Institute of Engineering and Technology dedicated to fostering innovation, creativity, and an entrepreneurial mindset among peers. We believe in ""We Rise by Lifting Others,"" creating a collaborative environment for students to explore ideas, develop skills, and transform concepts into impactful ventures. Through workshops, competitions, networking events, and mentorship programs, we bridge the gap between academics and real-world entrepreneurship. Our vision is to ignite the entrepreneurial spirit in every student, empowering them to become future-ready leaders and change-makers. Role Description This is a full-time on-site role for a Mechanical Design Engineer located in Dindigul. The Mechanical Design Engineer will be responsible for designing, developing, and refining mechanical components and systems. Day-to-day tasks will include creating CAD models, conducting mechanical analyses, prototyping, and collaborating with cross-functional teams to ensure products meet required specifications and standards. The role also involves documenting design processes and testing prototypes to validate performance. Qualifications Strong skills in Design Engineering, Machine Design, and Product Design Proficiency in Mechanical Engineering and Computer-Aided Design (CAD) Bachelor's degree in Mechanical Engineering or related field Excellent problem-solving skills and attention to detail Ability to work collaboratively with team members and stakeholders Experience in designing mechanical systems and creating prototypes Knowledge of industry standards and regulations is a plus",https://in.bebee.com/job/ecda04f6262acda25f7cf164a3abee63?trk=bingjobs
5,"Mechanical Design Engineer
Save
 ","Job description #Urgent_Opening_for Canvendor #Hiring: Mechanical Structural Design Engineer (3+ Years Experience) Chennai Immediate Joiners Preferred Location: Chennai, India Experience: 3+ Years Notice period: Immediate to 30 days Interview Mode: Face-to-face Interview Skills Highlighted: Solid Edge, Sheet Metal, Solid Works Key Requirements: -3 to 4 years' experience -Should have experience only in Sheet metal / welding. -Experience in Solid Works development (Able to write tool test) -Construction equipment manufacturing companies / Heavy fabrication industry If interested kindly share your updated CV to anushab@canvendor.com",https://in.jobrapido.com/jobpreview/5611320342103457792?utm_source=bingjobs&trk=bingjobs
6,"Mechanical Design Engineer - K380
Save
 ","Job description Position: Mechanical design engineerLocation : CoimbatoreExperience : 2-6 YearsKey Responsibilities:- 3D CAD Design & Modeling: Create detailed 3D models for simulation devices, anatomical structures, and housings using Blender, SolidWorks, Fusion 360, etc.- Design for Manufacturing (DFM): Optimize designs for 3D printing (FDM, SLA), CNC, laser cutting, and silicone molding.- Prototyping & Product Development: Turn simulation concepts into working prototypes with sensors and fluidics; iterate based on clinical feedback.- Documentation: Generate drawings, BOMs, and maintain design revision history- Collaboration: Work with engineers, designers, and clinical teams during R&D; and validation.Skills & Tools:- Proficiency in Blender, SolidWorks/Fusion 360- Strong knowledge of 3D printing, manufacturing methods, and tolerancing- Understanding of fluid paths, enclosures, and fitmentsQualification & Experience:- B.E/B.Tech in Mechanical, Mechatronics, or related- 2+ years of CAD and 3D prototyping experience- Freshers with strong portfolios may be consideredBonus Skills:- Experience in medical simulation or anatomical modeling- Familiarity with fluidics or biomechanics",https://in.jobrapido.com/jobpreview/8293158635383554048?utm_source=bingjobs&trk=bingjobs
7,"Mechanical Design Engineer
Save
 ","Job description Job role: Design engineer - AutoCAD and solidworks Experience: 3 to 5 years salary: up to 25k Location: Kondayampalayam-Coimbatore Develop and optimize product designs using CAD software (e.g., SolidWorks, AutoCAD) Create detailed engineering drawings, specifications, and documentation Conduct design reviews and integrate feedback from stakeholders Collaborate with manufacturing, quality, and R&D teams to ensure design feasibility Perform design validation through simulations and prototyping Stay updated with industry trends and incorporate best practices Job Types: Full-time, Permanent Pay: Up to ₹25,000.00 per month Benefits: Health insurance Provident Fund Schedule: Day shift Supplemental Pay: Overtime pay Yearly bonus Experience: Design engineer: 3 years (Required) Location: Kondayampalayam, Coimbatore, Tamil Nadu (Preferred) Work Location: In person","https://www.glassdoor.co.in/job-listing/mechanical-design-engineer-hire-hubb-JV_IC2836047_KO0,26_KE27,36.htm?jl=1009812382149&trk=bingjobs"
8,"Mechanical Design Engineer
Save
 ","Job description Should have hands-on experience in Solid works and Auto Cad Other Software Creo, Catia, Ansys Should have knowledge in mechanical design, plastic model design, Sheet metal , assembly drawing and teaching technical trainer. Job Types: Full-time, Permanent, Fresher Pay: From ₹12,000.00 per month Education: Diploma (Preferred) Work Location: In person",https://www.bing.com/ck/a?!&&p=66c571bc0901aba9e40ad7c3cf5649ad7a97ae7194bdd036b6effc820b303955JmltdHM9MTc1NzM3NjAwMA&ptn=3&ver=2&hsh=4&fclid=045ba26b-cd33-6e89-3837-b408cc516f61&u=a1aHR0cHM6Ly93d3cuZ2xhc3Nkb29yLmNvLmluL2pvYi1saXN0aW5nL21lY2hhbmljYWwtZGVzaWduLWVuZ2luZWVyLWJpZ2xlYXJuLWRpbmRpZ3VsLUpWX0lDMjgzMDMwOF9LTzAsMjZfS0UyNyw0NC5odG0_amw9MTAwOTg1MDM5NzE4OCZ0cms9YmluZ2pvYnM&ntb=1
9,"Mechanical Design Engineer
Save
 ","Job description Wanted - Mechanical Design Engineer: Required Diploma or BE in Mechanical Engineering with 4-6 years of design experience in the sheet metal fabrication, machining, or general engineering industries. General requirements: Proficient in SolidWorks, AutoCAD, and various 2D/3D modelling tools, Structural Drawings. Complete filter press structures along with Bills of Materials (BOM) Foundation, P&I (Piping and Instrumentation), and layout drawings for customer approval Strong understanding and practical application of Geometric Dimensioning and Tolerancing (GD&T) principles. Responsible for creating General Arrangement Drawings (GAD) for structural and mechanical components Knowledge of hydraulic cylinder and circuit drawings will be an added advantage. Preferred: Male candidate who is either currently idle or available to join immediately. Salary: ₹25,000 – ₹35,000/month (Negotiable for the right candidate) Location: Malumichampatti, Coimbatore Interested Please send your resume to: Job Types: Full-time, Permanent Pay: ₹22, ₹30,000.00 per month Benefits: Food provided Leave encashment Provident Fund Experience: Mechanical design: 5 years (Required) Work Location: In person",https://in.bebee.com/job/7c740968f3a8eee03dcf0b756ad57f14?trk=bingjobs
10,"Mechanical Design Engineer
Save
 ","Job description Creating and evaluating new products in terms of customer requirement and functionality. Must understand the new product design and development process. Well-Versed in SOLIDWORKS (Sheet Metal) and AutoCAD. 3D Modelling in SOLIDWORKS (Sheet Metal), Converting to 2D in AutoCAD and further preparing for Laser Cutting. Work with people from other departments to find solutions to problems that cannot tackle on their own. Job Type: Full-time Pay: From ₹15,000.00 per month Benefits: Commuter assistance Ability to commute/relocate: Coimbatore, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required) Experience: total work: 1 year (Required) Location: Coimbatore, Tamil Nadu (Required)",https://www.bing.com/ck/a?!&&p=6b436715bff98af1324786fdbb60753fc549fe067e5b3ae11cf52ecae9c1577eJmltdHM9MTc1NzM3NjAwMA&ptn=3&ver=2&hsh=4&fclid=045ba26b-cd33-6e89-3837-b408cc516f61&u=a1aHR0cHM6Ly93d3cuZ2xhc3Nkb29yLmNvLmluL2pvYi1saXN0aW5nL21lY2hhbmljYWwtZGVzaWduLWVuZ2luZWVyLWFubmFpLWVuZ2luZWVyaW5nLUpWX0lDMjgzNjA0N19LTzAsMjZfS0UyNyw0NC5odG0_amw9MTAwOTg2MTQwMTY1NyZ0cms9YmluZ2pvYnM&ntb=1
