S.No,Name,Description,Apply Link
1,"Python Developer
Save
 ","Job description Role Overview: We are seeking skilled Backend Developers to design, build, and maintain efficient, scalable, and secure server-side logic and services. The ideal candidate will have strong expertise in Python, Flask, and Google Cloud Platform (GCP), with experience building APIs, handling databases, and integrating cloud services in production environments. Required Experience: 4+ Years Location: Chennai, Open for remote for strong candidates Key Responsibilities: Collaborate with project teams to understand business requirements and develop efficient, high-quality code. Design and implement low-latency, high-availability, and performant applications using frameworks such as Flask, or FastAPI. Integrate multiple data sources and databases into a unified system while ensuring seamless data storage and third-party library/package integration. Create scalable and optimized database schemas to support complex business logic and manage large volumes of data. Conduct thorough testing using pytest and unittest, debugging applications to ensure they run smoothly. Required Skills & Qualifications: 3+ years of experience as a Python developer with strong communication skills. Bachelor's degree in Computer Science, Software Engineering or a related field. In-depth knowledge of Python frameworks such as Flask, or FastAPI. Strong expertise in cloud technologies, GCP preferred. Deep understanding of microservices architecture, multi-tenant architecture, and best practices in Python development. Familiarity with serverless architecture and frameworks like GCP Cloud Functions. Experience with deployment using Docker, Nginx, Gunicorn. Hands-on experience with SQL and NoSQL databases such as MySQL and Firebase. Proficiency with Object Relational Mappers (ORMs) like SQLAlchemy. Demonstrated ability to handle multiple API integrations and write modular, reusable code. Strong knowledge of user authentication and authorization mechanisms across multiple systems and environments. Familiarity with scalable application design principles and event-driven programming in Python. Solid experience in unit testing, debugging, and code optimization. Hands-on experience with modern software development methodologies, including Agile and Scrum. Experience with CI/CD pipelines and automation tools like Jenkins, GitLab CI, or CircleCI. Experience with version control system.",https://in.linkedin.com/jobs/view/python-developer-at-awign-4289472103?currentJobId=1693436162.Retro
2,"Python Developer
Save
 ","Job description Job Title: Python DeveloperJob Summary: We are seeking a skilled Python Developer with expertise in data technologies to join our team. The ideal candidate will have a proven ability to design and implement processes for moving and transforming data across systems in both batch and real-time environments. This role requires advanced proficiency in Python, SQL, and JSON, along with hands-on experience in PySpark technologies and Azure cloud services.Responsibilities: Design, develop, and implement scalable data pipelines for batch and real-time processing Collaborate with data engineering and analytics teams to understand data requirements and deliver effective solutions Optimize ETL/ELT workflows using Python and PySpark to handle large-scale datasets Write advanced SQL queries to process, transform, and analyze data efficiently Handle JSON data for integration, serialization, and deserialization in distributed systems Utilize Azure cloud services to deploy, manage, and maintain data solutions Troubleshoot and resolve issues in data pipelines and workflows Requirements: Proven experience in designing and implementing data integration processes Advanced proficiency in Python, SQL, and JSON Hands-on experience with PySpark technologies and distributed computing frameworks Practical expertise in Azure cloud services (e.g., Azure Data Lake, Azure Synapse etc.) Strong problem-solving and analytical skills Ability to work independently and collaboratively in a fast-paced environment Preferred Qualifications: Familiarity with additional cloud platforms (GCP or AWS) is a plus Experience with CI/CD tools and data versioning Knowledge of data modeling and big data technologies",https://in.linkedin.com/jobs/view/python-developer-at-the-value-maximizer-4282112255?trk=bingjobs
3,"Python Developer Opportunities
Save
 ","Job description At the forefront of cutting-edge technology, we empower companies to drive innovation through tailored AI solutions. We pride ourselves on delivering successful outcomes across diverse industries, from developing automated systems for airports to creating profitable ML-based trading strategies. This is a full-time remote role for a Senior Python Backend Engineer, responsible for designing and implementing efficient backend features, optimizing applications for speed and scalability, and collaborating with front-end developers. To succeed in this role, you'll need: Proficiency in Back-End Web Development and Software Development Strong skills in Object-Oriented Programming (OOP) and Programming Highly skilled in Django, FastAPI, MySQL, and OAuth Excellent problem-solving and critical-thinking skills Ability to work independently and remotely in a collaborative environment Bachelor's degree in Computer Science, Engineering, or a related field At least 3 years of work experience as a backend developer BIG PLUS: Experience or understanding of AI and Machine Learning, developed and scaled a product backend Key Responsibilities: Design and implement efficient and reliable backend features Optimize applications for maximum speed and scalability Collaborate with front-end developers on integrating user-facing elements Requirements: Proficiency in Python programming language Knowledge of Django and FastAPI frameworks Familiarity with database management using MySQL Understanding of OAuth authentication protocols About This Role: Our company collaborates with organizations to gain a deep understanding of their specific industrial landscapes and designs innovative AI solutions that revolutionize business operations. We value innovation, collaboration, and continuous learning. If you're passionate about driving business success through cutting-edge technology, join us in shaping the future of AI.",https://in.jobrapido.com/jobpreview/8331385802823041024?utm_source=bingjobs&trk=bingjobs
4,"Python Developer Intern
Save
 ","Job description Job Title: Python Developer Intern (Frappe) Location: Coimbatore (Onsite) Training Period: 2 Months (Unpaid) Stipend: Will be provided based on performance after the training period Summary We are looking for passionate Python freshers who are eager to build a career as a Frappe Developer . Selected candidates will undergo a 2-month training program focused on the Frappe Framework (a full-stack web framework built with Python and JavaScript). This is a valuable opportunity to gain hands-on experience and grow in a dynamic development environment. Responsibilities: Learn and work with the Frappe Framework (Python + JS) Build and customize applications within the Frappe ecosystem Work with server-side scripting , APIs, and data models Collaborate with the development team on real-time projects Follow coding standards and contribute to clean, maintainable code Requirements: Strong foundational knowledge in Python Eager to learn and work in Frappe Framework (training will be provided) Familiarity with HTML, CSS, JavaScript Good logical and analytical thinking Ability to grasp new concepts and tools quickly Git or version control knowledge is an advantage Training Details: This is an unpaid trainee position for 2 months Performance during the training will be closely monitored Based on performance, a monthly stipend will be offered after the training period.",https://in.bebee.com/job/9294b5f2c9f8019f2e9ef11f9faa5b61?trk=bingjobs
5,"Python Developer Intern
Save
 ","Job description Key Responsibilities: Code Development: Write, test, and debug Python code according to project requirements. Implement and maintain Python scripts for automation and testing. Contribute to the development of both backend and frontend components. Collaboration and Learning: Work closely with senior developers to understand project requirements and best practices. Participate in code reviews and learn from experienced developers. Contribute to the documentation of the software development process. Testing and Quality Assurance: Write and execute unit tests to ensure code quality and functionality. Identify and fix bugs and issues in the code. Participate in testing and quality assurance activities. Other Tasks: Assist in integrating applications with third-party web services. Contribute to the maintenance and improvement of existing software systems. Stay up-to-date with the latest Python technologies and trends. Job Type: Full-time Pay: ₹5, ₹10,000.00 per month Work Location: In person",https://in.bebee.com/job/1913217785109511125d7e9ef702d0db?trk=bingjobs
6,"Python Developer
Save
 ","Job description Python Developer - Senior Designation: Python Developer Qualification: AnyUG / PG / Computer Engineering Graduates Gender: Male / Female Candidates Experience: Min. 10+ Years Experience Job Location: Work from Home (Remote) Job Type: Full Time Permanent Job Sat & Sun – week off US shift Working Time: 9:00pm to 5:00pm or 10pm to 6:00pm (US Client) Skills: Load Balancers, Distributed Systems (Consistency, Availability, Latency (p50, p90, p99) Sticky Sessions, Long poll and / or Web Sockets Stateless and Stateful servers. SQL and NoSQL Databases Understanding or experience on Caching (Redis and / or Memcached) How to handle large number of RPS (requests per sec) in a service. Experience in DevOps, Data Engineering, or ML Ops roles. Strong Terraform skills; ability to craft reusable modules and navigate complex state. Production experience with at least one cloud provider (AWS, GCP, or Azure). Proficiency in Python and containerization (Docker); familiarity with Kubernetes or serverless batch systems. Hands-on knowledge of ML experiment platforms (MLflow, Kubeflow, Weights & Biases, or similar). Experience with workflow execution frameworks (Kubeflow, Apache Airflow) Understanding of modern data-versioning/feature-store concepts and tools. Solid grasp of CI/CD principles, Git workflows, and infrastructure testing. Excellent communication skills—capable of partnering with Data Scientists, Software Engineers, and Security teams. Job Types: Full-time, Permanent Pay: ₹1,200, ₹1,800,000.00 per year Benefits: Cell phone reimbursement Leave encashment Paid sick time Paid time off Provident Fund Work from home Work Location: In person",https://in.bebee.com/job/c7f5da6657e128a445ba61c4d333f2f3?trk=bingjobs
7,"Python Developer
Save
 ","Job description We are seeking a skilled and motivated Python Developer to join our development team. The ideal candidate will be responsible for designing, developing, testing, and deploying high-quality software solutions using Python. You will work closely with cross-functional teams to build scalable applications and contribute to the entire software development lifecycle. Key Responsibilities: Develop, test, and maintain Python-based applications, scripts, and services. Collaborate with front-end developers, UI/UX designers, and other stakeholders to integrate user-facing elements with server-side logic. Write reusable, efficient, and scalable code following best practices. Implement APIs, web services, and database interactions. Debug, troubleshoot, and optimize applications for performance and reliability. Participate in code reviews, technical discussions, and documentation. Stay updated with the latest industry trends, technologies, and best practices in Python development. Required Skills & Qualifications: Bachelor's degree in Computer Science, Engineering, or related field (or equivalent practical experience). Strong proficiency in Python and its frameworks (e.g., Django, Flask, FastAPI). Experience with RESTful APIs, microservices, and third-party integrations. Solid understanding of databases (MySQL, PostgreSQL, MongoDB). Familiarity with front-end technologies (HTML, CSS, JavaScript) is a plus. Knowledge of version control systems (Git, GitHub/GitLab). Strong problem-solving, debugging, and analytical skills. Ability to work independently and in a collaborative team environment. Contact Person: Rakesh HR Contact Number: Experience: Years Location: Coimbatore Timings: 09.30 Am Pm Job Types: Full-time, Permanent, Fresher Pay: ₹272, ₹913,046.61 per year Benefits: Health insurance Provident Fund",https://in.bebee.com/job/316af73151b987105f1e085d29f3d72b?trk=bingjobs
8,"SQL Or Python Developer
Save
 ","Job description We are looking for an experienced SQL or Python Developer to join our engineering team and help us create dynamic software applications for our clients. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers. To be successful as a SQL or Python Developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class SQL or Python Developer is able to design highly responsive web-applications that perfectly meet the needs of the client. Responsibilities: Coordinating with development teams to determine application requirements. Writing scalable code using Python programming language. Testing and debugging applications. Developing back-end components. Integrating user-facing elements using server-side logic. Assessing and prioritizing client feature requests. Integrating data storage solutions. Coordinating with front-end developers. Reprogramming existing databases to improve functionality. Developing digital tools to monitor online traffic. Requirements: Bachelor's degree in computer science, computer engineering, or related field. Expert knowledge of Python and related frameworks including Django and Flask. A deep understanding and multi-process architecture and the threading limitations of Python. Familiarity with server-side templating languages including Jinja 2 and Mako. Ability to integrate multiple data sources into a single system. Familiarity with testing tools. Ability to collaborate on projects and work independently when required.",https://in.jobrapido.com/jobpreview/631556382323113984?utm_source=bingjobs&trk=bingjobs
9,"Python Developer
Save
 ","Job description NXGEN is seeking a talented and motivated Python Developer to join our engineering team. In this role, you will be responsible for developing and maintaining robust backend systems and APIs that power our smart infrastructure and security solutions. You will work closely with cross-functional teams, including DevOps, data engineers, and product managers, to design and deliver scalable, secure, and high-performance software components. The ideal candidate will have strong expertise in Python, a deep understanding of backend architectures, and a passion for creating innovative solutions in fast-paced, technology-driven environments. Responsibilities Design, build, and maintain scalable Python-based backend applications and APIs. Integrate with cloud-based platforms, third-party services, and IoT devices. Work with large data pipelines and real-time data processing for AI/ML applications. Optimize code for performance and reliability in production environments. Write clean, modular, and well-documented code following best practices. Collaborate with front-end developers, DevOps, and QA to deliver end-to-end solutions. Participate in code reviews and contribute to a culture of continuous improvement. Qualifications Bachelor's degree in Computer Science, Engineering, or a related field. 2+ years of hands-on experience in Python development. Strong understanding of Python frameworks such as FastAPI, Flask, or Django. Experience with RESTful API design and integration. Familiarity with cloud platforms (AWS, GCP, or Azure). Working knowledge of databases (PostgreSQL, MongoDB, or similar). Understanding of version control (Git) and agile development practices. Good problem-solving skills and ability to work independently or in a team. Nice to Have: Experience with message queues (Kafka, RabbitMQ) or real-time systems. Exposure to AI/ML concepts or working with AI models in production. Experience with containerization (Docker) and orchestration (Kubernetes). Familiarity with CI/CD pipelines and DevOps tools.",https://in.bebee.com/job/9e181c5a2ea8c69671d432881531f1c1?trk=bingjobs
10,"(AQM706) Python Developer
Save
 ","Job description Title: Sr Python Fullstack Developer Client: VIAC Services Company Work Mode: Remote Required Skills & Experience 10+ years of experience with Python development (ability to write clean, well-documented code and make comments in the code) Proficient with PostgreSQL or relational databases Cloud experience, preferably AWS Experience with GitHub/Git Excellent communication, collaboration, and autonomy Nice to Have Skills & Experience Skilled with AWS Services and knowledgeable of the cloud ecosystem Job Description We are seeking a Sr Python Developer to join our growing team. As a Sr Developer, you will participate in daily stand-ups to discuss assigned stories within an Agile Scrum framework. You will engage in design and architecture sessions, collaborating closely with the leads of the team. Your primary focus will be hands-on development, working independently to complete assigned tasks. This employee will flourish if they have experience with and strong knowledge of the AWS cloud ecosystem and configuring cloud formation templates (IaaS). You will also have the opportunity to develop GenAI skills. Effective communication and teamwork are essential. This role will need to overlap with US hours of 8AM-12PM EST.",https://in.jobrapido.com/jobpreview/6953212333195788288?utm_source=bingjobs&trk=bingjobs
